episodio,recompensa
500,810.0
1000,550.0
1500,550.0
2000,240.0
2500,360.0
3000,330.0
3500,720.0
4000,350.0
4500,400.0
5000,780.0
5500,820.0
6000,430.0
6500,450.0
7000,1180.0
7500,420.0
8000,990.0
8500,180.0
9000,880.0
9500,580.0
10000,530.0
10500,1320.0
11000,330.0
11500,350.0
12000,210.0
12500,640.0
13000,330.0
13500,1060.0
14000,360.0
14500,490.0
15000,490.0
15500,1030.0
16000,660.0
16500,740.0
17000,470.0
17500,630.0
18000,400.0
18500,560.0
19000,680.0
19500,1540.0
20000,1110.0
20500,300.0
21000,730.0
